i:0,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: any,	 cultivated: -,	 depth of cultivation: -
i:1,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: bound,	 cultivated: -,	 depth of cultivation: -
i:2,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: any,	 cultivated: no,	 depth of cultivation: -
i:3,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: bound,	 cultivated: no,	 depth of cultivation: -
i:4,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: any,	 cultivated: any,	 depth of cultivation: -
i:5,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: bound,	 cultivated: bound,	 depth of cultivation: -
i:6,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: any,	 cultivated: any,	 depth of cultivation: any
i:7,	 t1-t2: 10-14,	 link control: False,	 other obs: (),	 limed: bound,	 cultivated: bound,	 depth of cultivation: any
i:8,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: any,	 cultivated: -,	 depth of cultivation: -
i:9,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: bound,	 cultivated: -,	 depth of cultivation: -
i:10,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: any,	 cultivated: no,	 depth of cultivation: -
i:11,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: bound,	 cultivated: no,	 depth of cultivation: -
i:12,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: any,	 cultivated: any,	 depth of cultivation: -
i:13,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: bound,	 cultivated: bound,	 depth of cultivation: -
i:14,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: any,	 cultivated: any,	 depth of cultivation: any
i:15,	 t1-t2: 10-14,	 link control: False,	 other obs: Carbon,	 limed: bound,	 cultivated: bound,	 depth of cultivation: any
i:16,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: any,	 cultivated: -,	 depth of cultivation: -
i:17,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: bound,	 cultivated: -,	 depth of cultivation: -
i:18,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: any,	 cultivated: no,	 depth of cultivation: -
i:19,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: bound,	 cultivated: no,	 depth of cultivation: -
i:20,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: any,	 cultivated: any,	 depth of cultivation: -
i:21,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: bound,	 cultivated: bound,	 depth of cultivation: -
i:22,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: any,	 cultivated: any,	 depth of cultivation: any
i:23,	 t1-t2: 10-14,	 link control: False,	 other obs: Al,	 limed: bound,	 cultivated: bound,	 depth of cultivation: any
i:24,	 t1-t2: 10-14,	 link control: False,	 other obs: ECEC,	 limed: any,	 cultivated: -,	 depth of cultivation: -
i:25,	 t1-t2: 10-14,	 link control: False,	 other obs: ECEC,	 limed: bound,	 cultivated: -,	 depth of cultivation: -
i:26,	 t1-t2: 10-14,	 link control: False,	 other obs: ECEC,	 limed: any,	 cultivated: no,	 depth of cultivation: -
i:27,	 t1-t2: 10-14,	 link control: False,	 other obs: ECEC,	 limed: bound,	 cultivated: no,	 depth of cultivation: -
i:28,	 t1-t2: 10-14,	 link control: False,	 other obs: ECEC,	 limed: any,	 cultivated: any,	 depth of cultivation: -
