i:61,	 t1-t2: 34-38,	 link control: False,	 match depth: True,	 other obs: ('Carbon', 'ECEC')
i:62,	 t1-t2: 34-38,	 link control: False,	 match depth: True,	 other obs: ('Al', 'ECEC')
i:63,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: ()
i:64,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: Carbon
i:65,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: Al
i:66,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: ECEC
i:67,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: ('Carbon', 'Al')
i:68,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: ('Carbon', 'ECEC')
i:69,	 t1-t2: 34-38,	 link control: True,	 match depth: True,	 other obs: ('Al', 'ECEC')
i:70,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: ()
i:71,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: Carbon
i:72,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: Al
i:73,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: ECEC
i:74,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: ('Carbon', 'Al')
i:75,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: ('Carbon', 'ECEC')
i:76,	 t1-t2: 10-14,	 link control: False,	 match depth: False,	 other obs: ('Al', 'ECEC')
i:77,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: ()
i:78,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: Carbon
i:79,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: Al
i:80,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: ECEC
i:81,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: ('Carbon', 'Al')
i:82,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: ('Carbon', 'ECEC')
i:83,	 t1-t2: 10-14,	 link control: True,	 match depth: False,	 other obs: ('Al', 'ECEC')
i:84,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: ()
i:85,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: Carbon
i:86,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: Al
i:87,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: ECEC
i:88,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: ('Carbon', 'Al')
i:89,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: ('Carbon', 'ECEC')
i:90,	 t1-t2: 22-26,	 link control: False,	 match depth: False,	 other obs: ('Al', 'ECEC')
i:91,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: ()
i:92,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: Carbon
i:93,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: Al
i:94,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: ECEC
i:95,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: ('Carbon', 'Al')
i:96,	 t1-t2: 22-26,	 link control: True,	 match depth: False,	 other obs: ('Carbon', 'ECEC')
